,ALL,,,,,MEN,,,,,WOMEN,,,,Born again,Evangelical
,Your,Father,Mother,Attended,,Your,Father,Mother,Attended,,Your,Father,Mother,Attended,,
1966,,,,661,,,,,590,,,,,740,,
1967,,,,,,,,, ,,,,,,,
1968,,,,917,,,,,900,,,,,937,,
1969,136,,,910,,157,,,892,,23,,,930,,
1970,107,,31,890,,119,,28,874,,91,,33,909,,
1971,,,,874,,,,,851,,,,,899,,
1972,,,,,,,,,,,,,,,,
1973,108,64,31,,,119,58,30,,,97,71,32,,,
1974,109,74,35,,,119,68,34,,,98,80,36,,,
1975,109,80,38,,,125,77,39,,,93,83,37,,,
1976,102,78,37,,,117,73,38,,,88,84,37,,,
1977,91,71,34,,,107,67,35,,,75,76,33,,,
1978,83,69,33,875,,96,64,33,849,,70,75,32,900,,
1979,,,,872,,,,,848,,,,,894,,
1980,,,,,,,,,,,,,,,,
1981,,,,879,,,,,855,,,,,901,,
1982,,,,878,,,,,852,,,,,902,,
1983,,,,873,,,,,845,,,,,899,,
1984,88,81,45,873,,103,79,47,849,,73,84,42,895,,
1985,94,89,49,865,,110,86,52,839,,80,91,46,890,,
1986,,,,855,,,,,827,,,,,881,,
1987,110,92,51,851,,130,90,55,822,,92,93,48,878,,
1988,130,109,63,826,,153,107,68,793,,109,112,59,856,,
1989,123,93,56,841,,145,93,61,808,,104,94,53,870,,
1990,123,99,60,850,,140,98,64,820,,107,99,56,877,,
1991,128,100,62,855,,149,100,65,823,,109,100,58,883,,
1992,134,105,66,853,,155,103,70,824,,116,107,62,879,,
1993,135,100,61,851, ,152,97,64,823,,120,103,59,876,,
1994,134,106,64,853, ,154,104,68,824,,117,108,61,877,,
1995,140,100,62,845,,161,98,65,815,,123,102,59,869,,
1996,140,106,65,848,,158,104,69,819,,124,108,63,872,,
1997,132,105,64,854,,153,104,67,825,,115,106,62,879,,
1998,146,119,73,845,,164,115,75,819,,130,123,72,866,,
1999,143,119,73,841,,161,114,74,817,,128,123,72,861,,
2000,149,119,74,828,,169,115,76,802,,132,122,72,850,,
2001,158,124,78,831,,180,120,81,807,,141,127,76,851,,
2002,172,135,87,819,,198,133,89,790,,151,136,85,842,,
2003,176,139,91,804,,201,135,93,776,,156,143,89,826,,
2004,175,142,92,804,,200,139,95,775,,155,142,90,828,,
2005,174,139,91,796,,197,135,94,768,,156,142,89,819,,
2006,191,149,98,768,,212,145,101,743,,174,153,96,788,,
2007,194,145,96,779,,214,142,100,755,,178,147,93,798,,
2008,212,158,105,758,,232,155,107,735,,196,161,102,777,,
2009,219,156,106,748,,238,151,108,726,,203,161,105,766, , 
2010,230,160,111,748,,251,157,114,724,,212,164,109,767,228,89
2011,245,173,122,728,,266,168,122,704,,228,177,122,749,,
2012,238,168,118,732,,263,164,119,707,,217,171,117,754,202,85
2013,246,171,121,727,,269,162,120,703,,226,179,121,748,,
